L-Pyrrolidine-2-carboxylic acid (L-Proline),L-Proline,
L-Piperidine-2-carboxylic acid (Pipecolic acid),Pipecolic acid,
2-Indolecarboxylic acid,2-Indolecarboxylic acid,
DL-N-Benzylaminobutanedioic acid,DL-N-Benzylaminobutanedioic acid,
L-2-(Iminomethylamino)pentanedioic acid,L-2-(Iminomethylamino)pentanedioic acid,
S-(1-Carboxy-3-phenylpropyl)-L-alanyl-L-proline (Enalaprilat),Enalaprilat,
L-N-(2-Hydroxybenzyl)-2-aminopropanoic acid,L-N-(2-Hydroxybenzyl)-2-aminopropanoic acid,
N-(Phosphonomethyl)glycine (Glyphosate),Glyphosate,
(Carboxymethylamino)acetohydroxamic acid,(Carboxymethylamino)acetohydroxamic acid,
(Carboxymethylamino)aceto-N-methylhydroxamic acid,(Carboxymethylamino)aceto-N-methylhydroxamic acid,
3-(2-Hydroxyethylamino)propanoic acid,3-(2-Hydroxyethylamino)propanoic acid,
L-4-Hydroxypyrrolidine-2-carboxylic acid (L-Hydroxyproline),L-Hydroxyproline,
"DL-1,3-Thiazolidine-4-carboxylic acid (DL-Thiaproline)",DL-Thiaproline,
"L-1,4-Perhydrothiazine-3-carboxylic acid","L-1,4-Perhydrothiazine-3-carboxylic acid",
DL-Benzylpenicilloic acid,DL-Benzylpenicilloic acid,
L-N-Acetyltryptophan,L-N-Acetyltryptophan,
L-2-(2-Pyridylmethylamino)-5-thiahexanoic acid,L-2-(2-Pyridylmethylamino)-5-thiahexanoic acid,
DL-[1-Carboxy-2-(2-mercapto-4-imidazolyl)ethyl](trimethyl)ammonium (chloride) (Ergothioneine),Ergothioneine,
N-(2-Aminoethyl)glycine (Ethylenediamine monoacetic acid) (EDMA),EDMA,
N-[Tris(hydroxymethyl)methyl]glycine (Tricine),Tricine,
"1,2,3-Triazole-4-carboxylic acid","1,2,3-Triazole-4-carboxylic acid",
"1-Phenyl-1,2,3-triazole-4-carboxylic acid","1-Phenyl-1,2,3-triazole-4-carboxylic acid",
"5-Methyl-1-phenyl-1,2,3-triazole-4-carboxylic acid","5-Methyl-1-phenyl-1,2,3-triazole-4-carboxylic acid",
"1,2,3-Triazole-4,5-dicarboxylic acid","1,2,3-Triazole-4,5-dicarboxylic acid",
"1-Phenyl-1,2,3-triazole-4,5-dicarboxylic acid","1-Phenyl-1,2,3-triazole-4,5-dicarboxylic acid",
Diethylenetriamine-N(1)-acetic acid,Diethylenetriamine-N(1)-acetic acid,
2-(Carboxymethylaminomethyl)azole-4-sulfonic acid (N-(4-Sulfonyl-2-pyrrylmethyl)glycine),2-(Carboxymethylaminomethyl)azole-4-sulfonic acid (N-(4-Sulfonyl-2-pyrrylmethyl)glycine),
L-2-(Methylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Methylhistidine),L-2-(Methylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Methylhistidine),
L-2-(Benzylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Benzyl-L-histidine),L-2-(Benzylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Benzyl-L-histidine),
"L-2-(Benzylamino)-3-(3-benzyl-5-imidazolyl)propanoic acid (N(alpha),N(3)-Dibenzyl-L-histidine)","L-2-(Benzylamino)-3-(3-benzyl-5-imidazolyl)propanoic acid (N(alpha),N(3)-Dibenzyl-L-histidine)",
"L-4,5,6,7-Tetrahydro-1H-imidazo[4,5-c]pyridine-6-carboxylic acid (Spinacine)",Spinacine,
4-Imidazolylacetic acid,4-Imidazolylacetic acid,
3-(4-Imidazolyl)propanoic acid,3-(4-Imidazolyl)propanoic acid,OC(=O)CCc1c[nH]cn1
2-Hydroxy-3-(4-imidazolyl)propanoic acid,2-Hydroxy-3-(4-imidazolyl)propanoic acid,OC(Cc1c[nH]cn1)C(O)=O
N-Acetyl-L-histidine,N-Acetyl-L-histidine,CC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O
N-(2-Methyl-2-propoxycarbonyl)-L-histidine,N-(2-Methyl-2-propoxycarbonyl)-L-histidine,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O
N-Acetylglycyl-L-histidine,N-Acetylglycyl-L-histidine,CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O
N-Acetylglycylglycyl-L-histidine,N-Acetylglycylglycyl-L-histidine,CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O
N-Acetylglycyl-L-histidylglycine,N-Acetylglycyl-L-histidylglycine,CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(O)=O
N-Acetylglycyl(N(3)-benzyl-L-histidyl)glycine,N-Acetylglycyl(N(3)-benzyl-L-histidyl)glycine,CC(=O)NCC(=O)N(CC(O)=O)C(=O)[C@@H](N)Cc1cncn1Cc2ccccc2
N-Acetylglycylglycylglycyl-L-histidine,N-Acetylglycylglycylglycyl-L-histidine,CC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O
N-Acetylglycylglycyl-L-histidylglycine,N-Acetylglycylglycyl-L-histidylglycine,CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(O)=O
Ethylenediiminodiacetic acid (EDDA),EDDA,OC(=O)CNCCNCC(O)=O
Ethylenediiminodi-3-propanoic acid (EDDP),EDDP,CCO[P](=O)(Sc1ccccc1)Sc2ccccc2
Ethylenediiminodi-2-propanoic acid,Ethylenediiminodi-2-propanoic acid,
Ethylenediiminodi-2-butanoic acid,Ethylenediiminodi-2-butanoic acid,
Ethylenediiminobis(dimethylacetic acid),dimethylacetic acid,CC(C)C(O)=O
"1,4-Diaminobutane-N,N'-diacetic acid","1,4-Diaminobutane-N,N'-diacetic acid",
